bloom_day_countdown,first_bloom_day_countdown
[-0.5302491103202847],[-0.6521739130434783]
[-0.5373665480427047],[-0.6594202898550725]
[-0.5444839857651246],[-0.6666666666666667]
[-0.5516014234875445],[-0.6739130434782609]
[-0.5587188612099645],[-0.681159420289855]
[-0.5658362989323844],[-0.6884057971014492]
[-0.5729537366548043],[-0.6956521739130435]
[-0.5800711743772242],[-0.7028985507246377]
[-0.5871886120996441],[-0.7101449275362319]
[-0.594306049822064],[-0.7173913043478262]
[-0.6014234875444839],[-0.7246376811594203]
[-0.608540925266904],[-0.7318840579710144]
[-0.6156583629893239],[-0.7391304347826086]
[-0.6227758007117439],[-0.7463768115942029]
[-0.6298932384341638],[-0.7536231884057971]
[-0.6370106761565837],[-0.7608695652173914]
[-0.6441281138790036],[-0.7681159420289855]
[-0.6512455516014235],[-0.7753623188405797]
[-0.6583629893238434],[-0.782608695652174]
[-0.6654804270462633],[-0.7898550724637681]
[-0.6725978647686832],[-0.7971014492753623]
[-0.6797153024911032],[-0.8043478260869565]
[-0.6868327402135231],[-0.8115942028985508]
[-0.693950177935943],[-0.8188405797101449]
[-0.7010676156583631],[-0.8260869565217391]
[-0.708185053380783],[-0.8333333333333334]
[-0.7153024911032029],[-0.8405797101449275]
[-0.7224199288256228],[-0.8478260869565217]
[-0.7295373665480427],[-0.855072463768116]
[-0.7366548042704626],[-0.8623188405797102]
[-0.7437722419928826],[-0.8695652173913043]
[-0.7508896797153025],[-0.8768115942028986]
[-0.7580071174377224],[-0.8840579710144928]
[-0.7651245551601423],[-0.8913043478260869]
[-0.7722419928825623],[-0.8985507246376812]
[-0.7793594306049823],[-0.9057971014492754]
[-0.7864768683274022],[-0.9130434782608696]
[-0.7935943060498221],[-0.9202898550724637]
[-0.800711743772242],[-0.927536231884058]
[-0.8078291814946619],[-0.9347826086956522]
[-0.8149466192170819],[-0.9420289855072463]
[-0.8220640569395018],[-0.9492753623188406]
[-0.8291814946619217],[-0.9565217391304348]
[-0.8362989323843416],[-0.9637681159420289]
[-0.8434163701067616],[-0.9710144927536232]
[-0.8505338078291815],[-0.9782608695652174]
[-0.8576512455516014],[-0.9855072463768116]
[-0.8647686832740213],[-0.9927536231884058]
[-0.8718861209964412],[-1.0]
[-0.8790035587188613],[-1.0072463768115942]
[-0.8861209964412812],[-1.0144927536231885]
[-0.8932384341637011],[-1.0217391304347827]
[-0.900355871886121],[-1.0289855072463767]
[-0.9074733096085409],[-1.036231884057971]
[-0.9145907473309609],[-1.0434782608695652]
[-0.9217081850533808],[-1.0507246376811594]
[-0.9288256227758007],[-1.0579710144927537]
