bloom_day_countdown,first_bloom_day_countdown
[0.044871794871794934],[0.11046511627906974]
[0.038461538461538325],[0.10465116279069764]
[0.03205128205128194],[0.09883720930232553]
[0.02564102564102555],[0.09302325581395343]
[0.019230769230769162],[0.08720930232558133]
[0.012820512820512775],[0.08139534883720922]
[0.0064102564102563875],[0.07558139534883712]
[0.0],[0.06976744186046513]
[-0.0064102564102564985],[0.06395348837209303]
[-0.012820512820512886],[0.05813953488372092]
[-0.019230769230769273],[0.05232558139534882]
[-0.02564102564102566],[0.046511627906976716]
[-0.03205128205128205],[0.04069767441860461]
[-0.03846153846153855],[0.03488372093023251]
[-0.044871794871794934],[0.029069767441860406]
[-0.05128205128205132],[0.023255813953488302]
[-0.05769230769230771],[0.0174418604651162]
[-0.0641025641025641],[0.011627906976744207]
[-0.0705128205128206],[0.005813953488372103]
[-0.07692307692307698],[0.0]
[-0.08333333333333337],[-0.005813953488372103]
[-0.08974358974358976],[-0.011627906976744207]
[-0.09615384615384615],[-0.01744186046511631]
[-0.10256410256410264],[-0.023255813953488413]
[-0.10897435897435903],[-0.029069767441860517]
[-0.11538461538461542],[-0.03488372093023262]
[-0.1217948717948718],[-0.04069767441860472]
[-0.1282051282051282],[-0.04651162790697683]
[-0.1346153846153847],[-0.05232558139534882]
[-0.14102564102564108],[-0.05813953488372092]
[-0.14743589743589747],[-0.06395348837209303]
[-0.15384615384615385],[-0.06976744186046513]
[-0.16025641025641024],[-0.07558139534883723]
[-0.16666666666666674],[-0.08139534883720934]
[-0.17307692307692313],[-0.08720930232558144]
[-0.17948717948717952],[-0.09302325581395354]
[-0.1858974358974359],[-0.09883720930232565]
[-0.1923076923076923],[-0.10465116279069775]
[-0.1987179487179488],[-0.11046511627906974]
[-0.20512820512820518],[-0.11627906976744184]
[-0.21153846153846156],[-0.12209302325581395]
[-0.21794871794871795],[-0.12790697674418605]
[-0.22435897435897434],[-0.13372093023255816]
[-0.23076923076923084],[-0.13953488372093026]
[-0.23717948717948723],[-0.14534883720930236]
[-0.2435897435897436],[-0.15116279069767447]
[-0.25],[-0.15697674418604657]
[-0.2564102564102564],[-0.16279069767441867]
[-0.2628205128205129],[-0.16860465116279078]
[-0.2692307692307693],[-0.17441860465116277]
[-0.27564102564102566],[-0.18023255813953487]
[-0.28205128205128205],[-0.18604651162790697]
[-0.28846153846153844],[-0.19186046511627908]
[-0.29487179487179493],[-0.19767441860465118]
[-0.3012820512820513],[-0.20348837209302328]
[-0.3076923076923077],[-0.2093023255813954]
[-0.3141025641025641],[-0.2151162790697675]
[-0.3205128205128205],[-0.2209302325581396]
[-0.326923076923077],[-0.2267441860465117]
[-0.33333333333333337],[-0.2325581395348838]
[-0.33974358974358976],[-0.2383720930232558]
[-0.34615384615384615],[-0.2441860465116279]
[-0.35256410256410253],[-0.25]
[-0.35897435897435903],[-0.2558139534883721]
[-0.3653846153846154],[-0.2616279069767442]
[-0.3717948717948718],[-0.2674418604651163]
[-0.3782051282051282],[-0.2732558139534884]
[-0.3846153846153846],[-0.2790697674418605]
[-0.3910256410256411],[-0.28488372093023256]
[-0.39743589743589747],[-0.29069767441860467]
[-0.40384615384615385],[-0.29651162790697677]
[-0.41025641025641024],[-0.3023255813953489]
[-0.41666666666666674],[-0.308139534883721]
[-0.42307692307692313],[-0.313953488372093]
[-0.4294871794871795],[-0.31976744186046513]
[-0.4358974358974359],[-0.32558139534883723]
[-0.4423076923076923],[-0.33139534883720934]
[-0.4487179487179488],[-0.33720930232558144]
[-0.4551282051282052],[-0.34302325581395354]
[-0.46153846153846156],[-0.3488372093023256]
[-0.46794871794871795],[-0.3546511627906977]
[-0.47435897435897434],[-0.3604651162790698]
[-0.48076923076923084],[-0.3662790697674419]
[-0.4871794871794872],[-0.372093023255814]
[-0.4935897435897436],[-0.37790697674418605]
[-0.5],[-0.38372093023255816]
[-0.5064102564102564],[-0.38953488372093026]
[-0.5128205128205128],[-0.39534883720930236]
[-0.5192307692307693],[-0.40116279069767447]
[-0.5256410256410257],[-0.4069767441860465]
[-0.532051282051282],[-0.4127906976744186]
[-0.5384615384615385],[-0.4186046511627907]
[-0.5448717948717949],[-0.4244186046511628]
[-0.5512820512820513],[-0.4302325581395349]
[-0.5576923076923077],[-0.436046511627907]
[-0.5641025641025641],[-0.4418604651162791]
[-0.5705128205128205],[-0.4476744186046512]
[-0.5769230769230769],[-0.4534883720930233]
[-0.5833333333333334],[-0.4593023255813954]
[-0.5897435897435898],[-0.4651162790697675]
[-0.5961538461538461],[-0.47093023255813954]
[-0.6025641025641026],[-0.47674418604651164]
[-0.608974358974359],[-0.48255813953488375]
[-0.6153846153846154],[-0.48837209302325585]
[-0.6217948717948718],[-0.49418604651162795]
[-0.6282051282051282],[-0.5]
[-0.6346153846153846],[-0.5058139534883721]
[-0.641025641025641],[-0.5116279069767442]
[-0.6474358974358975],[-0.5174418604651163]
[-0.6538461538461539],[-0.5232558139534884]
[-0.6602564102564102],[-0.5290697674418605]
[-0.6666666666666667],[-0.5348837209302326]
[-0.6730769230769231],[-0.5406976744186047]
[-0.6794871794871795],[-0.5465116279069768]
[-0.6858974358974359],[-0.5523255813953489]
[-0.6923076923076923],[-0.5581395348837209]
[-0.6987179487179487],[-0.563953488372093]
[-0.7051282051282051],[-0.5697674418604651]
[-0.7115384615384616],[-0.5755813953488372]
[-0.717948717948718],[-0.5813953488372093]
[-0.7243589743589745],[-0.5872093023255814]
[-0.7307692307692308],[-0.5930232558139535]
[-0.7371794871794872],[-0.5988372093023255]
[-0.7435897435897436],[-0.6046511627906976]
[-0.75],[-0.6104651162790697]
[-0.7564102564102564],[-0.6162790697674418]
[-0.7628205128205128],[-0.622093023255814]
[-0.7692307692307693],[-0.627906976744186]
[-0.7756410256410257],[-0.6337209302325582]
[-0.782051282051282],[-0.6395348837209303]
[-0.7884615384615384],[-0.6453488372093024]
[-0.7948717948717949],[-0.6511627906976745]
[-0.8012820512820513],[-0.6569767441860466]
[-0.8076923076923077],[-0.6627906976744187]
[-0.8141025641025641],[-0.6686046511627908]
[-0.8205128205128205],[-0.6744186046511628]
[-0.8269230769230769],[-0.6802325581395349]
[-0.8333333333333334],[-0.686046511627907]
[-0.8397435897435898],[-0.6918604651162791]
[-0.8461538461538461],[-0.6976744186046512]
[-0.8525641025641025],[-0.7034883720930233]
[-0.858974358974359],[-0.7093023255813954]
[-0.8653846153846154],[-0.7151162790697675]
[-0.8717948717948718],[-0.7209302325581396]
[-0.8782051282051282],[-0.7267441860465117]
[-0.8846153846153846],[-0.7325581395348837]
[-0.891025641025641],[-0.7383720930232558]
[-0.8974358974358975],[-0.7441860465116279]
[-0.9038461538461539],[-0.75]
[-0.9102564102564102],[-0.7558139534883721]
[-0.9166666666666666],[-0.7616279069767442]
[-0.9230769230769231],[-0.7674418604651163]
[-0.9294871794871795],[-0.7732558139534884]
[-0.9358974358974359],[-0.7790697674418605]
[-0.9423076923076923],[-0.7848837209302326]
[-0.9487179487179487],[-0.7906976744186047]
[-0.9551282051282052],[-0.7965116279069767]
[-0.9615384615384616],[-0.8023255813953488]
[-0.967948717948718],[-0.8081395348837209]
[-0.9743589743589743],[-0.813953488372093]
[-0.9807692307692307],[-0.8197674418604651]
[-0.9871794871794872],[-0.8255813953488372]
[-0.9935897435897436],[-0.8313953488372093]
[-1.0],[-0.8372093023255814]
